Epoch,Samples,Correct,Failed,Accuracy
1,92,6,86,0.06521739065647125
2,92,10,82,0.10869564861059189
3,92,9,83,0.09782608598470688
4,92,19,73,0.20652173459529877
5,92,36,56,0.3913043439388275
6,92,33,59,0.3586956560611725
7,92,45,47,0.489130437374115
8,92,53,39,0.5760869383811951
9,92,47,45,0.510869562625885
10,92,52,40,0.5652173757553101
11,92,56,36,0.6086956262588501
12,92,56,36,0.6086956262588501
13,92,62,30,0.6739130616188049
14,92,66,26,0.717391312122345
15,92,66,26,0.717391312122345
16,92,68,24,0.739130437374115
17,92,61,31,0.6630434989929199
18,92,68,24,0.739130437374115
19,92,70,22,0.760869562625885
20,92,66,26,0.717391312122345
21,92,67,25,0.72826087474823
22,92,68,24,0.739130437374115
23,92,72,20,0.782608687877655
24,92,67,25,0.72826087474823
25,92,64,28,0.695652186870575
26,92,70,22,0.760869562625885
27,92,69,23,0.75
28,92,70,22,0.760869562625885
29,92,67,25,0.72826087474823
30,92,72,20,0.782608687877655
31,92,71,21,0.77173912525177
32,92,72,20,0.782608687877655
33,92,74,18,0.804347813129425
34,92,74,18,0.804347813129425
35,92,70,22,0.760869562625885
36,92,74,18,0.804347813129425
37,92,75,17,0.8152173757553101
38,92,74,18,0.804347813129425
39,92,79,13,0.8586956262588501
40,92,75,17,0.8152173757553101
